//LOGDATA
///INDEX 1
DATE              :2025/06/09 09:57:51
EVENT             :START
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :MASTER_X4
LINE              :0000

///INDEX 2
DATE              :2025/06/09 09:57:47
EVENT             :SELECT JOB
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :MASTER_X4

///INDEX 3
DATE              :2025/06/09 09:31:50
EVENT             :SAFETY FENCE OPEN
LOGIN NAME        :melika

///INDEX 4
DATE              :2025/06/09 09:30:51
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :MASTER_X4
LINE              :0206
STOP FACTOR       :PAUSE COMM

///INDEX 5
DATE              :2025/06/09 09:10:12
EVENT             :START
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0246

///INDEX 6
DATE              :2025/06/09 09:10:10
EVENT             :PLAY MODE
LOGIN NAME        :melika

///INDEX 7
DATE              :2025/06/09 09:10:09
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0246
STOP FACTOR       :SERVO OFF
DETAIL FACTOR 1   :PP ENABLE SWITCH

///INDEX 8
DATE              :2025/06/09 09:10:09
EVENT             :TEST
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0244

///INDEX 9
DATE              :2025/06/09 09:10:07
EVENT             :SAFETY FENCE OPEN
LOGIN NAME        :melika

///INDEX 10
DATE              :2025/06/09 09:10:06
EVENT             :SPEED OVERRIDE SETTING
LOGIN NAME        :melika
OVERRIDE STATUS   :INVALID
SPEED RATIO       :100

///INDEX 11
DATE              :2025/06/09 09:10:06
EVENT             :TEACH MODE
LOGIN NAME        :melika

///INDEX 12
DATE              :2025/06/09 09:04:50
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0244
STOP FACTOR       :SERVO OFF
DETAIL FACTOR 1   :ALARM STOP QUE

///INDEX 13
DATE              :2025/06/09 09:04:15
EVENT             :START
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0233

///INDEX 14
DATE              :2025/06/09 09:04:13
EVENT             :PLAY MODE
LOGIN NAME        :melika

///INDEX 15
DATE              :2025/06/09 09:04:04
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0233
STOP FACTOR       :OTHER FACTOR

///INDEX 16
DATE              :2025/06/09 09:03:39
EVENT             :TEST
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0231

///INDEX 17
DATE              :2025/06/09 09:03:37
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0231
STOP FACTOR       :KEY OFF

///INDEX 18
DATE              :2025/06/09 09:03:33
EVENT             :NEXT
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0231

///INDEX 19
DATE              :2025/06/09 09:03:06
EVENT             :SPEED OVERRIDE SETTING
LOGIN NAME        :melika
OVERRIDE STATUS   :INVALID
SPEED RATIO       :100

///INDEX 20
DATE              :2025/06/09 09:03:06
EVENT             :TEACH MODE
LOGIN NAME        :melika

///INDEX 21
DATE              :2025/06/09 09:02:56
EVENT             :SAFETY FENCE OPEN
LOGIN NAME        :melika

///INDEX 22
DATE              :2025/06/09 09:00:49
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :KRIS7(1)_V2
LINE              :0231
STOP FACTOR       :SERVO OFF
DETAIL FACTOR 1   :MAIN CPU ALARM
DETAIL FACTOR 2   :RDY0 OFF

///INDEX 23
DATE              :2025/06/09 08:38:05
EVENT             :START
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :OK_R2_O55B(90,0)KMOK
LINE              :0583

///INDEX 24
DATE              :2025/06/09 08:38:03
EVENT             :PLAY MODE
LOGIN NAME        :melika

///INDEX 25
DATE              :2025/06/09 08:38:02
EVENT             :STOP
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :OK_R2_O55B(90,0)KMOK
LINE              :0583
STOP FACTOR       :SERVO OFF
DETAIL FACTOR 1   :PP ENABLE SWITCH

///INDEX 26
DATE              :2025/06/09 08:38:01
EVENT             :TEST
LOGIN NAME        :melika
TASK              :#00
JOB NAME          :OK_R2_O55B(90,0)KMOK
LINE              :0582

///INDEX 27
DATE              :2025/06/09 08:37:59
EVENT             :SAFETY FENCE OPEN
LOGIN NAME        :melika

///INDEX 28
DATE              :2025/06/09 08:37:59
EVENT             :SPEED OVERRIDE SETTING
LOGIN NAME        :melika
OVERRIDE STATUS   :INVALID
SPEED RATIO       :100

///INDEX 29
DATE              :2025/06/09 08:37:59
EVENT             :TEACH MODE
LOGIN NAME        :melika

///INDEX 30
